[23Dec2024 18:42:20.770] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[23Dec2024 18:42:20.773] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.5 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[23Dec2024 18:42:22.393] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[23Dec2024 18:42:22.398] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[23Dec2024 18:42:22.404] [main/INFO] [mixin-transmog/]: Mixin Transmogrifier is definitely up to no good...
[23Dec2024 18:42:22.425] [main/INFO] [mixin-transmog/]: crimes against java were committed
[23Dec2024 18:42:22.442] [main/INFO] [mixin-transmog/]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[23Dec2024 18:42:22.479] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Connector-1.0.0-beta.46+1.20.1.jar%23299%23303!/ Service=ModLauncher Env=SERVER
[23Dec2024 18:42:22.497] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[23Dec2024 18:42:22.498] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/BOLUDOSSAFIO/servidor_minecraft
[23Dec2024 18:42:22.499] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods
[23Dec2024 18:42:22.499] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[23Dec2024 18:42:22.501] [main/INFO] [Mods Optimizer/]: Creating Mods Database Config File under /workspaces/BOLUDOSSAFIO/servidor_minecraft/config/mods_optimizer/config.toml
[23Dec2024 18:42:22.518] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/BOLUDOSSAFIO/servidor_minecraft/config/mods_optimizer/config.toml
[23Dec2024 18:42:22.567] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/BOLUDOSSAFIO/servidor_minecraft and mods dir /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods for target SERVER in 67 ms.
[23Dec2024 18:42:22.568] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[23Dec2024 18:42:22.570] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~200 mods in /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods with file extension .jar ...
[23Dec2024 18:42:22.591] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-09-19T09:53:08.535911937:
[23Dec2024 18:42:22.603] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for starterkit from UNKNOWN to DEFAULT
[23Dec2024 18:42:22.647] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for oculus from UNKNOWN to CLIENT
[23Dec2024 18:42:22.655] [main/ERROR] [Mods Optimizer/]: TOML file META-INF/mods.toml not found in java.util.jar.JarFile@1473b8c0
[23Dec2024 18:42:22.656] [main/WARN] [Mods Optimizer/]: ⚠ Found no META-INF/mods.toml file for /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Connector-1.0.0-beta.46+1.20.1.jar!
[23Dec2024 18:42:22.656] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-09-27T11:02:52.188759466:
[23Dec2024 18:42:22.657] [main/ERROR] [Mods Optimizer/]: Json file fabric.mod.json not found in java.util.jar.JarFile@1473b8c0
[23Dec2024 18:42:22.657] [main/WARN] [Mods Optimizer/]: ⚠ Found no id tag inside the fabric.mod.json file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Connector-1.0.0-beta.46+1.20.1.jar!
[23Dec2024 18:42:22.658] [main/WARN] [Mods Optimizer/]: ⚠ Found no name tag inside the fabric.mod.json file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Connector-1.0.0-beta.46+1.20.1.jar!
[23Dec2024 18:42:22.658] [main/WARN] [Mods Optimizer/]: ⚠ Found no version tag inside the fabric.mod.json file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Connector-1.0.0-beta.46+1.20.1.jar!
[23Dec2024 18:42:22.659] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-09-27T11:02:52.188759466:
[23Dec2024 18:42:22.661] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for myserveriscompatible from DEFAULT to CLIENT
[23Dec2024 18:42:22.666] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to DEFAULT
[23Dec2024 18:42:22.679] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/village-nullifier-1.0.0.jar, which is expected in some cases.
[23Dec2024 18:42:22.686] [main/ERROR] [Mods Optimizer/]: TOML file META-INF/mods.toml not found in java.util.jar.JarFile@659925f4
[23Dec2024 18:42:22.687] [main/WARN] [Mods Optimizer/]: ⚠ Found no META-INF/mods.toml file for /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/kotlinforforge-4.11.0-all.jar!
[23Dec2024 18:42:22.689] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for catalogue from UNKNOWN to CLIENT
[23Dec2024 18:42:22.691] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-09-13T21:35:06.506903009Z:
[23Dec2024 18:42:22.710] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for entity_texture_features from UNKNOWN to CLIENT
[23Dec2024 18:42:22.731] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for betterfpsdist from DEFAULT to CLIENT
[23Dec2024 18:42:22.814] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp 2024-09-16T18:11:01.977303800Z:
[23Dec2024 18:42:22.818] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for entityculling from UNKNOWN to CLIENT
[23Dec2024 18:42:22.821] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/lithosphere 1.2 25.06.2024.jar, which is expected in some cases.
[23Dec2024 18:42:22.829] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothboot from DEFAULT to CLIENT
[23Dec2024 18:42:22.834] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.searchables[0] section of the mods.toml file /workspaces/BOLUDOSSAFIO/servidor_minecraft/mods/Searchables-forge-1.20.1-1.0.3.jar!
[23Dec2024 18:42:22.835] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for searchables from UNKNOWN to CLIENT
[23Dec2024 18:42:22.847] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for ambientsounds from DEFAULT to CLIENT
[23Dec2024 18:42:22.851] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for fancymenu from DEFAULT to CLIENT
[23Dec2024 18:42:22.856] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothchunk from DEFAULT to SERVER
[23Dec2024 18:42:22.870] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for extrasounds from DEFAULT to CLIENT
[23Dec2024 18:42:22.875] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for dynamiccrosshair from DEFAULT to CLIENT
[23Dec2024 18:42:22.877] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 library mods in 198 mods.
[23Dec2024 18:42:22.878] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 4 data pack mods in 198 mods.
[23Dec2024 18:42:22.878] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 28 client mods in 198 mods.
[23Dec2024 18:42:22.878] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 3 server mods in 198 mods.
[23Dec2024 18:42:22.878] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 service mods in 198 mods.
[23Dec2024 18:42:22.879] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 161 default mods in 198 mods.
[23Dec2024 18:42:22.879] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[23Dec2024 18:42:22.879] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[23Dec2024 18:42:22.879] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[23Dec2024 18:42:22.880] [main/INFO] [Mods Optimizer/]: | kubejs                             | 2001.6.5-build.14      | FORGE    | DEFAULT           | 2024-06-21 18:29:01 |
[23Dec2024 18:42:22.881] [main/INFO] [Mods Optimizer/]: | globalgamerules                    | 8.0.0-11               | FORGE    | DEFAULT           | 2023-06-14 22:16:43 |
[23Dec2024 18:42:22.881] [main/INFO] [Mods Optimizer/]: | dynamiccrosshair                   | 7.4.4+1.20             | FORGE    | CLIENT            | 2024-12-23 18:19:17 |
[23Dec2024 18:42:22.882] [main/INFO] [Mods Optimizer/]: | nerb                               | 0.4.1                  | FORGE    | DEFAULT           | 2024-12-23 18:30:30 |
[23Dec2024 18:42:22.882] [main/INFO] [Mods Optimizer/]: | underground_bunkers                | 1.0.5                  | FORGE    | DEFAULT           | 2024-09-15 15:17:04 |
[23Dec2024 18:42:22.883] [main/INFO] [Mods Optimizer/]: | sound_physics_remastered           | 1.20.1-1.4.5           | FORGE    | DEFAULT           | 2024-07-12 09:23:24 |
[23Dec2024 18:42:22.883] [main/INFO] [Mods Optimizer/]: | modernfix                          | 5.19.4+mc1.20.1        | FORGE    | DEFAULT           | 2024-12-23 18:28:47 |
[23Dec2024 18:42:22.884] [main/INFO] [Mods Optimizer/]: | horror_element_mod                 | 1.6.0                  | FORGE    | UNKNOWN           | 2024-12-23 18:23:40 |
[23Dec2024 18:42:22.885] [main/INFO] [Mods Optimizer/]: | createdieselgenerators             | 1.20.1-1.2i            | FORGE    | DEFAULT           | 2024-06-05 18:06:03 |
[23Dec2024 18:42:22.885] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 11.1.136               | FORGE    | DEFAULT           | 2024-12-23 17:56:42 |
[23Dec2024 18:42:22.886] [main/INFO] [Mods Optimizer/]: | leavesbegone                       | 8.0.0                  | FORGE    | DEFAULT           | 2023-06-28 07:09:21 |
[23Dec2024 18:42:22.886] [main/INFO] [Mods Optimizer/]: | embeddium                          | 0.3.31+mc1.20.1        | FORGE    | UNKNOWN           | 2024-12-23 18:18:50 |
[23Dec2024 18:42:22.887] [main/INFO] [Mods Optimizer/]: | refinedstorage                     | 1.12.4                 | FORGE    | UNKNOWN           | 2024-12-23 18:34:45 |
[23Dec2024 18:42:22.887] [main/INFO] [Mods Optimizer/]: | lmft                               | 1.0.4+1.20.1           | FORGE    | DEFAULT           | 2024-12-23 18:25:47 |
[23Dec2024 18:42:22.888] [main/INFO] [Mods Optimizer/]: | advancementplaques                 | 1.6.7                  | FORGE    | DEFAULT           | 2024-09-27 09:43:12 |
[23Dec2024 18:42:22.889] [main/INFO] [Mods Optimizer/]: | ftbxmodcompat                      | 2.1.1                  | FORGE    | DEFAULT           | 2024-12-23 18:23:28 |
[23Dec2024 18:42:22.889] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 18.0.0-592             | FORGE    | DEFAULT           | 2023-06-30 06:53:53 |
[23Dec2024 18:42:22.890] [main/INFO] [Mods Optimizer/]: | loot_journal                       | 3.1.1                  | FORGE    | CLIENT            | 2024-05-06 15:36:40 |
[23Dec2024 18:42:22.890] [main/INFO] [Mods Optimizer/]: | lrarmor                            | 1.4.3                  | FORGE    | UNKNOWN           | 2024-09-02 23:48:24 |
[23Dec2024 18:42:22.891] [main/INFO] [Mods Optimizer/]: | blocksyouneed_luna                 | 1.6.4                  | FORGE    | UNKNOWN           | 2024-12-23 17:56:29 |
[23Dec2024 18:42:22.891] [main/INFO] [Mods Optimizer/]: | extinction                         | 1.1.0                  | FORGE    | UNKNOWN           | 2024-12-23 18:20:57 |
[23Dec2024 18:42:22.891] [main/INFO] [Mods Optimizer/]: | spark                              | 1.10.53                | FORGE    | DEFAULT           | 2024-12-23 18:37:25 |
[23Dec2024 18:42:22.892] [main/INFO] [Mods Optimizer/]: | curios                             | 5.10.0+1.20.1          | FORGE    | DEFAULT           | 2024-08-31 05:02:18 |
[23Dec2024 18:42:22.892] [main/INFO] [Mods Optimizer/]: | oculus                             | 1.7.0                  | FORGE    | CLIENT            | 2024-12-23 18:30:55 |
[23Dec2024 18:42:22.893] [main/INFO] [Mods Optimizer/]: | create_factory                     | 0.0.0                  | FORGE    | DEFAULT           | 2024-06-21 20:25:58 |
[23Dec2024 18:42:22.893] [main/INFO] [Mods Optimizer/]: | searchables                        | 1.0.3                  | FORGE    | CLIENT            | 2024-04-23 06:56:27 |
[23Dec2024 18:42:22.893] [main/INFO] [Mods Optimizer/]: | noisium                            | 2.3.0+mc1.20-1.20.1    | FORGE    | DEFAULT           | 2024-12-23 18:30:31 |
[23Dec2024 18:42:22.894] [main/INFO] [Mods Optimizer/]: | thirst                             | 1.20.1-1.3.9           | FORGE    | DEFAULT           | 2024-07-27 01:23:51 |
[23Dec2024 18:42:22.894] [main/INFO] [Mods Optimizer/]: | pointblank                         | 1.7.6                  | FORGE    | DEFAULT           | 2024-09-25 16:31:40 |
[23Dec2024 18:42:22.894] [main/INFO] [Mods Optimizer/]: | dynamic_fps                        | 3.7.3                  | FORGE    | CLIENT            | 2024-12-23 18:19:18 |
[23Dec2024 18:42:22.895] [main/INFO] [Mods Optimizer/]: | jadeaddons                         | 5.3.1+forge            | FORGE    | UNKNOWN           | 2024-09-05 03:28:20 |
[23Dec2024 18:42:22.895] [main/INFO] [Mods Optimizer/]: | createtaczauto                     | 1.1.2                  | FORGE    | UNKNOWN           | 2024-12-23 18:16:22 |
[23Dec2024 18:42:22.895] [main/INFO] [Mods Optimizer/]: | krypton                            | 0.2.3                  | FORGE    | DEFAULT           | 2023-06-24 02:49:29 |
[23Dec2024 18:42:22.896] [main/INFO] [Mods Optimizer/]: | cleanview                          | 1.20.1-v1              | FORGE    | DEFAULT           | 2023-06-17 11:31:48 |
[23Dec2024 18:42:22.896] [main/INFO] [Mods Optimizer/]: | dynamictrees                       | 1.20.1-1.3.3           | FORGE    | DEFAULT           | 2024-12-23 18:19:13 |
[23Dec2024 18:42:22.896] [main/INFO] [Mods Optimizer/]: | sliceanddice                       | 3.3.0                  | FORGE    | DEFAULT           | 2024-12-23 18:34:25 |
[23Dec2024 18:42:22.897] [main/INFO] [Mods Optimizer/]: | waterdripsound                     | 0.3.2                  | FORGE    | DEFAULT           | 2023-03-15 19:31:04 |
[23Dec2024 18:42:22.897] [main/INFO] [Mods Optimizer/]: | radium                             | 0.12.4+git.26c9d8e     | FORGE    | UNKNOWN           | 2024-12-23 18:34:23 |
[23Dec2024 18:42:22.898] [main/INFO] [Mods Optimizer/]: | dtbop                              | 1.20.1-3.2.5           | FORGE    | DEFAULT           | 2024-12-23 18:18:34 |
[23Dec2024 18:42:22.898] [main/INFO] [Mods Optimizer/]: | ftblibrary                         | 2001.2.4               | FORGE    | DEFAULT           | 2024-07-26 11:00:29 |
[23Dec2024 18:42:22.898] [main/INFO] [Mods Optimizer/]: | zombiekit                          | 2.0.1                  | FORGE    | DEFAULT           | 2024-10-03 21:22:19 |
[23Dec2024 18:42:22.899] [main/INFO] [Mods Optimizer/]: | mutantmonsters                     | 8.0.7                  | FORGE    | DEFAULT           | 2024-02-14 13:20:07 |
[23Dec2024 18:42:22.899] [main/INFO] [Mods Optimizer/]: | marbledsendless                    | 1.0.0                  | FORGE    | DEFAULT           | 2024-07-17 01:48:13 |
[23Dec2024 18:42:22.899] [main/INFO] [Mods Optimizer/]: | jei                                | 15.20.0-104            | FORGE    | DEFAULT           | 2024-12-23 18:23:23 |
[23Dec2024 18:42:22.900] [main/INFO] [Mods Optimizer/]: | welcomemessage                     | 2.6.0                  | MIXED    | UNKNOWN           | 2024-07-27 19:14:34 |
[23Dec2024 18:42:22.900] [main/INFO] [Mods Optimizer/]: | attributefix                       | 21.0.4                 | FORGE    | DEFAULT           | 2023-11-29 11:27:15 |
[23Dec2024 18:42:22.901] [main/INFO] [Mods Optimizer/]: | gundurability                      | 1.0.0                  | FORGE    | UNKNOWN           | 2024-10-11 12:24:20 |
[23Dec2024 18:42:22.901] [main/INFO] [Mods Optimizer/]: | mekanism                           | 10.4.9                 | FORGE    | DEFAULT           | 2024-08-25 15:57:01 |
[23Dec2024 18:42:22.901] [main/INFO] [Mods Optimizer/]: | createloveandwar                   | 0.0.0                  | FORGE    | DEFAULT           | 2024-04-10 20:36:42 |
[23Dec2024 18:42:22.902] [main/INFO] [Mods Optimizer/]: | immersive_weathering               | 1.20.1-2.0.3           | FORGE    | DEFAULT           | 2024-12-23 18:23:15 |
[23Dec2024 18:42:22.902] [main/INFO] [Mods Optimizer/]: | zombiesmore                        | 2.0.0                  | FORGE    | UNKNOWN           | 2024-12-23 17:52:17 |
